Type, Latitude, Longitude
T,-7.799946,110.352043
T,-7.799946,110.352043
T,-7.799956,110.352043
T,-7.799956,110.352043
T,-7.799956,110.352043
T,-7.799962,110.352043
T,-7.799962,110.352043
T,-7.799962,110.352043
T,-7.799967,110.352050
T,-7.799967,110.352050
T,-7.799967,110.352050
T,-7.799970,110.352050
T,-7.799970,110.352050
T,-7.799970,110.352050
T,-7.799973,110.352050
T,-7.799973,110.352050
T,-7.799973,110.352050
T,-7.799972,110.352058
T,-7.799972,110.352058
T,-7.799972,110.352058
T,-7.799970,110.352058
T,-7.799970,110.352058
T,-7.799970,110.352058
T,-7.799965,110.352058
T,-7.799965,110.352058
T,-7.799965,110.352058
T,-7.799964,110.352058
T,-7.799964,110.352058
T,-7.799964,110.352058
T,-7.799963,110.352066
T,-7.799963,110.352066
T,-7.799963,110.352066
T,-7.799962,110.352066
T,-7.799962,110.352066
T,-7.799962,110.352066
T,-7.799961,110.352066
T,-7.799961,110.352066
T,-7.799961,110.352066
T,-7.799960,110.352066
T,-7.799960,110.352066
T,-7.799960,110.352066
T,-7.799959,110.352066
T,-7.799959,110.352066
T,-7.799959,110.352066
T,-7.799962,110.352066
T,-7.799962,110.352066
T,-7.799962,110.352066
T,-7.799961,110.352073
T,-7.799961,110.352073
T,-7.799961,110.352073
T,-7.799960,110.352073
T,-7.799960,110.352073
T,-7.799960,110.352073
T,-7.799965,110.352073
T,-7.799965,110.352073
T,-7.799965,110.352073
T,-7.799969,110.352073
T,-7.799969,110.352073
T,-7.799969,110.352073
T,-7.799968,110.352073
T,-7.799968,110.352073
T,-7.799968,110.352073
T,-7.799971,110.352073
T,-7.799971,110.352073
T,-7.799971,110.352073
T,-7.799974,110.352073
T,-7.799974,110.352073
T,-7.799974,110.352073
T,-7.799979,110.352073
T,-7.799979,110.352073
T,-7.799979,110.352073
T,-7.799982,110.352073
T,-7.799982,110.352073
T,-7.799982,110.352073
T,-7.799981,110.352073
T,-7.799981,110.352073
T,-7.799981,110.352073
T,-7.799982,110.352073
T,-7.799982,110.352073
T,-7.799982,110.352073
T,-7.799984,110.352081
T,-7.799984,110.352081
T,-7.799984,110.352081
T,-7.799986,110.352081
T,-7.799986,110.352081
T,-7.799986,110.352081
T,-7.799987,110.352081
T,-7.799987,110.352081
T,-7.799987,110.352081
T,-7.799987,110.352081
T,-7.799987,110.352081
T,-7.799987,110.352081
T,-7.799990,110.352073
T,-7.799990,110.352073
T,-7.799990,110.352073
T,-7.799989,110.352073
T,-7.799989,110.352073
T,-7.799989,110.352073
T,-7.799987,110.352081
T,-7.799987,110.352081
T,-7.799987,110.352081
T,-7.799984,110.352081
T,-7.799984,110.352081
T,-7.799984,110.352081
T,-7.799985,110.352081
T,-7.799985,110.352081
T,-7.799985,110.352081
T,-7.799990,110.352081
T,-7.799990,110.352081
T,-7.799990,110.352081
T,-7.799990,110.352081
T,-7.799993,110.352088
T,-7.799993,110.352088
T,-7.799993,110.352088
T,-7.799998,110.352088
T,-7.799998,110.352088
T,-7.799998,110.352088
T,-7.799998,110.352088
T,-7.799998,110.352088
T,-7.799998,110.352088
T,-7.799999,110.352088
T,-7.799999,110.352088
T,-7.799999,110.352088
T,-7.799999,110.352096
T,-7.799999,110.352096
T,-7.799999,110.352096
T,-7.799997,110.352096
T,-7.799997,110.352096
T,-7.799997,110.352096
T,-7.799996,110.352096
T,-7.799996,110.352096
T,-7.799996,110.352096
T,-7.799993,110.352104
T,-7.799993,110.352104
T,-7.799993,110.352104
T,-7.799993,110.352104
T,-7.799993,110.352104
T,-7.799993,110.352104
T,-7.799992,110.352104
T,-7.799992,110.352104
T,-7.799992,110.352104
T,-7.799990,110.352104
T,-7.799990,110.352104
T,-7.799990,110.352104
T,-7.799987,110.352104
T,-7.799987,110.352104
T,-7.799987,110.352104
T,-7.799985,110.352104
T,-7.799985,110.352104
W,-7.799985,110.352104
T,-7.799985,110.352104
T,-7.799984,110.352104
T,-7.799984,110.352104
T,-7.799984,110.352104
W,-7.799984,110.352104
T,-7.799984,110.352104
T,-7.799984,110.352104
T,-7.799984,110.352104
T,-7.799983,110.352104
T,-7.799983,110.352104
T,-7.799983,110.352104
T,-7.799983,110.352104
T,-7.799983,110.352104
T,-7.799983,110.352104
T,-7.799986,110.352096
T,-7.799986,110.352096
T,-7.799986,110.352096
T,-7.799985,110.352096
T,-7.799985,110.352096
T,-7.799985,110.352096
T,-7.799986,110.352096
T,-7.799986,110.352096
T,-7.799986,110.352096
T,-7.799989,110.352096
W,-7.799989,110.352096
T,-7.799989,110.352096
W,-7.799989,110.352096
T,-7.799989,110.352096
